Farbe,Anzahl
"(12, 8, 7)",28
"(12, 8, 9)",26
"(12, 9, 0)",6
"(12, 9, 2)",50
"(12, 9, 4)",58
"(12, 9, 16)",5
"(12, 9, 18)",2
"(12, 9, 20)",1
"(12, 10, 0)",1
"(12, 10, 11)",465
"(12, 10, 13)",140
"(12, 10, 15)",5
"(12, 10, 21)",6
"(12, 10, 23)",1
"(12, 11, 0)",4
"(12, 11, 6)",76
"(12, 11, 7)",84
"(12, 11, 9)",89
"(12, 11, 16)",19
"(12, 11, 17)",5
"(12, 11, 19)",6
"(12, 12, 0)",6
"(12, 12, 2)",13
"(12, 12, 4)",31
"(12, 12, 10)",623
"(12, 12, 12)",896
"(12, 12, 14)",251
"(12, 13, 0)",2
"(12, 13, 5)",29
"(12, 13, 7)",69
"(12, 13, 8)",87
"(12, 13, 15)",22
"(12, 13, 17)",9
"(12, 13, 18)",3
"(12, 14, 0)",3
"(12, 14, 1)",9
"(12, 14, 3)",8
"(12, 14, 9)",67
"(12, 14, 11)",108
"(12, 14, 13)",234
"(12, 15, 0)",4
"(12, 15, 4)",4
"(12, 15, 6)",20
"(12, 15, 8)",46
"(12, 16, 1)",1
"(12, 16, 2)",2
"(12, 16, 15)",23
"(12, 16, 17)",5
"(12, 16, 19)",1
"(12, 17, 0)",1
"(12, 17, 11)",6
"(12, 17, 13)",22
"(12, 18, 18)",2
"(12, 19, 3)",2
"(12, 20, 0)",1
"(12, 20, 23)",2
"(12, 21, 26)",1
"(13, 0, 0)",1
"(13, 1, 3)",3
"(13, 2, 0)",12
"(13, 2, 6)",1
"(13, 3, 0)",9
"(13, 3, 1)",9
"(13, 3, 2)",5
"(13, 4, 0)",37
"(13, 4, 5)",13
"(13, 4, 7)",4
"(13, 5, 0)",2
"(13, 5, 2)",116
"(13, 5, 3)",40
"(13, 5, 18)",2
"(13, 6, 0)",254
"(13, 7, 0)",5
"(13, 7, 7)",25
"(13, 7, 9)",9
"(13, 7, 11)",4
"(13, 7, 17)",1
"(13, 7, 19)",1
"(13, 8, 2)",28
"(13, 8, 4)",41
"(13, 8, 5)",34
"(13, 8, 12)",29
"(13, 8, 14)",3
"(13, 9, 0)",16
"(13, 9, 6)",33
"(13, 9, 8)",24
"(13, 9, 10)",30
"(13, 10, 0)",2
"(13, 10, 1)",10
"(13, 10, 3)",54
"(13, 10, 5)",53
"(13, 10, 17)",5
"(13, 10, 19)",1
"(13, 11, 0)",1
"(13, 11, 12)",625
"(13, 11, 14)",168
"(13, 11, 16)",5
"(13, 11, 22)",2
"(13, 11, 24)",1
"(13, 12, 0)",1
"(13, 12, 7)",90
"(13, 12, 8)",130
"(13, 12, 10)",140
"(13, 12, 17)",18
"(13, 12, 20)",4
"(13, 13, 0)",1
"(13, 13, 1)",4
"(13, 13, 3)",17
"(13, 13, 5)",43
"(13, 13, 11)",796
"(13, 13, 13)",1948
"(13, 13, 15)",361
"(13, 13, 25)",1
"(13, 14, 0)",6
"(13, 14, 6)",41
"(13, 14, 8)",105
"(13, 14, 9)",137
"(13, 14, 16)",15
"(13, 14, 18)",4
"(13, 14, 19)",4
"(13, 15, 0)",3
"(13, 15, 1)",9
"(13, 15, 2)",16
"(13, 15, 4)",19
"(13, 15, 10)",64
"(13, 15, 12)",117
"(13, 15, 14)",219
"(13, 16, 0)",11
"(13, 16, 5)",5
"(13, 16, 7)",23
"(13, 16, 9)",36
"(13, 17, 0)",1
"(13, 17, 2)",2
"(13, 17, 3)",3
"(13, 17, 16)",20
"(13, 17, 18)",8
"(13, 17, 20)",3
"(13, 18, 0)",1
"(13, 18, 11)",2
"(13, 18, 12)",8
"(13, 18, 14)",15
"(13, 19, 17)",3
"(13, 19, 19)",2
"(13, 20, 13)",1
"(13, 21, 24)",2
"(13, 25, 3)",1
"(14, 0, 0)",1
"(14, 2, 2)",1
"(14, 3, 0)",10
"(14, 3, 1)",4
"(14, 4, 0)",9
"(14, 4, 2)",4
"(14, 4, 3)",7
"(14, 4, 5)",1
"(14, 5, 0)",40
"(14, 5, 6)",9
"(14, 5, 8)",6
"(14, 5, 10)",1
"(14, 6, 0)",1
"(14, 6, 3)",96
"(14, 6, 4)",32
"(14, 6, 19)",1
"(14, 7, 0)",107
"(14, 7, 1)",161
"(14, 7, 14)",1
"(14, 8, 0)",8
"(14, 8, 8)",22
"(14, 8, 10)",10
"(14, 8, 12)",2
"(14, 9, 3)",35
"(14, 9, 5)",45
"(14, 9, 6)",27
"(14, 9, 13)",15
"(14, 9, 15)",1
"(14, 10, 0)",3
"(14, 10, 1)",13
"(14, 10, 7)",41
"(14, 10, 9)",30
"(14, 10, 11)",38
"(14, 11, 2)",12
"(14, 11, 4)",57
"(14, 11, 6)",75
"(14, 11, 18)",8
"(14, 11, 22)",2
"(14, 12, 0)",6
"(14, 12, 13)",980
"(14, 12, 15)",180
"(14, 12, 17)",12
"(14, 12, 23)",4
"(14, 12, 25)",4
"(14, 13, 0)",4
"(14, 13, 8)",125
"(14, 13, 9)",135
"(14, 13, 11)",155
"(14, 13, 18)",28
"(14, 13, 19)",2
"(14, 13, 21)",5
"(14, 14, 2)",7
"(14, 14, 4)",23
"(14, 14, 6)",55
"(14, 14, 12)",1056
"(14, 14, 14)",5871
"(14, 14, 16)",471
"(14, 15, 0)",14
"(14, 15, 1)",4
"(14, 15, 7)",49
"(14, 15, 9)",148
"(14, 15, 10)",212
"(14, 15, 17)",33
"(14, 15, 19)",6
"(14, 15, 20)",1
"(14, 16, 0)",5
"(14, 16, 2)",11
"(14, 16, 3)",5
"(14, 16, 5)",33
"(14, 16, 11)",61
"(14, 16, 13)",102
"(14, 16, 15)",240
"(14, 17, 0)",10
"(14, 17, 6)",8
"(14, 17, 8)",24
"(14, 17, 10)",33
"(14, 18, 3)",2
"(14, 18, 4)",3
"(14, 18, 17)",21
"(14, 18, 19)",4
"(14, 18, 21)",9
"(14, 19, 0)",3
"(14, 19, 13)",15
"(14, 19, 15)",9
"(14, 19, 23)",1
"(14, 20, 18)",2
"(14, 20, 20)",5
"(14, 21, 5)",1
"(14, 21, 14)",1
"(14, 22, 25)",1
"(14, 23, 28)",1
"(14, 25, 19)",1
"(15, 0, 3)",3
"(15, 2, 0)",1
"(15, 4, 0)",3
"(15, 4, 2)",6
"(15, 5, 0)",9
"(15, 5, 3)",16
"(15, 5, 4)",5
"(15, 6, 0)",35
"(15, 6, 1)",16
"(15, 6, 7)",11
"(15, 6, 9)",2
"(15, 7, 0)",2
"(15, 7, 4)",119
"(15, 7, 5)",32
"(15, 7, 18)",2
"(15, 8, 0)",111
"(15, 8, 2)",143
"(15, 9, 0)",5
"(15, 9, 9)",15
"(15, 9, 11)",9
"(15, 9, 13)",4
"(15, 10, 4)",30
"(15, 10, 6)",44
"(15, 10, 7)",26
"(15, 10, 14)",20
"(15, 10, 17)",2
"(15, 11, 0)",8
"(15, 11, 2)",10
"(15, 11, 8)",44
"(15, 11, 10)",30
"(15, 11, 12)",48
"(15, 12, 0)",3
"(15, 12, 3)",16
"(15, 12, 5)",80
"(15, 12, 7)",68
"(15, 12, 19)",4
"(15, 13, 0)",3
"(15, 13, 1)",8
"(15, 13, 14)",1279
"(15, 13, 16)",202
"(15, 13, 18)",10
"(15, 13, 24)",1
"(15, 13, 26)",2
"(15, 13, 27)",1
"(15, 14, 0)",5
"(15, 14, 9)",217
"(15, 14, 10)",200
"(15, 14, 12)",172
"(15, 14, 19)",33
"(15, 14, 20)",2
"(15, 14, 22)",6
"(15, 15, 3)",8
"(15, 15, 5)",48
"(15, 15, 7)",78
"(15, 15, 13)",1226
"(15, 15, 15)",1746
"(15, 15, 17)",413
"(15, 15, 23)",1
"(15, 16, 0)",23
"(15, 16, 2)",6
